"description","amount","unit","kCalories","protein","carbohydrates","fat","vitA","vitB1","vitB2","vitB3","vitB5","vitB6","vitB9","vitB12","vitC","vitD","vitE","vitK","choline","calcium","copper","iron","magnesium","manganese","phosphorus","potassium","selenium","sodium","zinc","water","fiber","cholesterol","saturatedFat","monoUnsaturatedFat","polyUnsaturatedFat","glycemicIndex","comments",
"Trigo",100,"gr","357.10","10.30","74.7","1.9",0,0,0,0,0,0,0,0,"4.80",0,0,0,0,36,0,"3.87",0,0,314,0,0,0,"2.98","11.6",0,0,0,0,0,0,0,0,
"Atún en ac. Vegt campomar",100,"gr","272.80","19.6","0.0","21.6",0,0,0,0,0,0,0,0,0,0,0,0,0,"15.9",0,"1.8",0,0,"148.9",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Pescado bacalao seco salado",100,"gr","77.78","14.4","2.6","1.1",0,0,0,0,0,0,0,0,"18.30",0,0,0,0,50,0,"1.80",0,0,221,0,0,0,"1.37","82.4",0,0,0,0,0,0,0,0,
"Pescado bonito P.C.",100,"gr","226.30","52.3","0.0","1.9",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,524,0,"4.90",0,0,650,0,0,0,"0.0","29.6",0,0,0,0,0,0,0,0,
"Pescado bonito, huevera de",100,"gr","76.64","17.8","0.9","0.2",0,0,0,0,0,0,0,0,"5.20",0,0,0,0,117,0,"0.10",0,0,263,0,0,0,"1.11","78.0",0,0,0,0,0,0,0,0,
"Pescado bonito, músculo claro",100,"gr","84.60","19.8","0.0","0.6",0,0,0,0,0,0,0,0,"-",0,0,0,0,"107.6",0,"0.82",0,0,"0.0",0,0,0,"0.0","75.2",0,0,0,0,0,0,0,0,
"Pescado bonito, músculo oscuro",100,"gr","99.00","18.9","0.0","2.6",0,0,0,0,0,0,0,0,"-",0,0,0,0,53,0,"1.40",0,0,192,0,0,0,"0.0","86.1",0,0,0,0,0,0,0,0,
"Pescado bonito, pulpa asada",100,"gr","86.00","20.6","0.0","0.4",0,0,0,0,0,0,0,0,"-",0,0,0,0,"158.1",0,"2.92",0,0,"0.0",0,0,0,"0.0","68.3",0,0,0,0,0,0,0,0,
"Pescado bonito, seco salado P.C.",100,"gr","105.84","16.9","7.8","0.8",0,0,0,0,0,0,0,0,"7.80",0,0,0,0,158,0,"2.00",0,0,106,0,0,0,"1.63","78.6",0,0,0,0,0,0,0,0,
"Pescado caballa, en conserva",100,"gr","87.46",13,"3.7","2.3",0,0,0,0,0,0,0,0,"5.40",0,0,0,0,"119.4",0,"5.05",0,0,206,0,0,0,"1.60","78.7",0,0,0,0,0,0,0,0,
"Pescado caballa, fresco crudo",100,"gr","79.80","15.9","0.0","1.8",0,0,0,0,0,0,0,0,"11.60",0,0,0,0,"11.7",0,"0.29",0,0,219,0,0,0,"0.0","78.2",0,0,0,0,0,0,0,0,
"Pescado caballa, salado",100,"gr","136.30","16.3","0.0","7.9",0,0,0,0,0,0,0,0,"5.70",0,0,0,0,59,0,"0.70",0,0,366,0,0,0,"0.0","72.1",0,0,0,0,0,0,0,0,
"Pescado cabinza",100,"gr","65.20","14.5","0.0","0.8",0,0,0,0,0,0,0,0,"-",0,0,0,0,"88.9",0,"2.03",0,0,"0.0",0,0,0,"0.0","83.8",0,0,0,0,0,0,0,0,
"Pescado cabrilla",100,"gr","77.60","18.5","0.0","0.4",0,0,0,0,0,0,0,0,"9.30",0,0,0,0,102,0,"1.20",0,0,81,0,0,0,"0.0","78.1",0,0,0,0,0,0,0,0,
"Pescado carachama P.C.",100,"gr","114.78","23.2","2.6","1.3",0,0,0,0,0,0,0,0,"0.80",0,0,0,0,"171.8",0,"4.8",0,0,180,0,0,0,"1.37","69.5",0,0,0,0,0,0,0,0,
"Pescado chita P.C.",100,"gr","150.20","19.1","0.0","8.2",0,0,0,0,0,0,0,0,"8.70",0,0,0,0,"77.1",0,"3.04",0,0,276,0,0,0,"1.72","70.8",0,0,0,0,0,0,0,0,
"Pescado chita, huevera de",100,"gr","180.70","22.9","0.0","9.9",0,0,0,0,0,0,0,0,"-",0,0,0,0,"0.0",0,"0.0",0,0,"0.0",0,0,0,"0.0","65.3",0,0,0,0,0,0,0,0,
"Pescado chita, pulpa asada",100,"gr","109.42","25.5","0.0","0.8",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,11,0,"1.53",0,0,163,0,0,0,"0.77","74.5",0,0,0,0,0,0,0,0,
"Pescado cojinova",100,"gr","134.60","23.3","0.0","4.6",0,0,0,0,0,0,0,0,"-",0,0,0,0,"0.0",0,"0.0",0,0,"0.0",0,0,0,"0.0","70.4",0,0,0,0,0,0,0,0,
"Pescado corvina P.C.",100,"gr","82.90","19.6","0.0","0.5",0,0,0,0,0,0,0,0,"4.70",0,0,0,0,126,0,"0.30",0,0,240,0,0,0,"0.0","77.2",0,0,0,0,0,0,0,0,
"Pescado jurel, en conserva",100,"gr","272.61","62.8","0.0","2.4",0,0,0,0,0,0,0,0,"4.00",0,0,0,0,160,0,"3.60",0,0,950,0,0,0,"1.59","16.1",0,0,0,0,0,0,0,0,
"Pescado jurel, fresco crudo",100,"gr","76.10","15.2","0.0","1.7",0,0,0,0,0,0,0,0,"0.70",0,0,0,0,34,0,"1.90",0,0,113,0,0,0,"0.51","80.9",0,0,0,0,0,0,0,0,
"Pescado lenguado",100,"gr","131.40","23.4","0.0","4.2",0,0,0,0,0,0,0,0,"1.60",0,0,0,0,28,0,"0.70",0,0,258,0,0,0,"0.0","70.6",0,0,0,0,0,0,0,0,
"Pescado lisa",100,"gr","101.80","17.2","1.5","3.0",0,0,0,0,0,0,0,0,"10.10",0,0,0,0,24,0,"1.80",0,0,274,0,0,0,"1.00","75.5",0,0,0,0,0,0,0,0,
"Pescado lorna, fresco crudo",100,"gr","106.90","23.8","0.0","1.3",0,0,0,0,0,0,0,0,"-",0,0,0,0,"24.1",0,"0.51",0,0,"0.0",0,0,0,"0.0","73.4",0,0,0,0,0,0,0,0,
"Pescado lorna, pulpa seca salada P.C.",100,"gr","133.90","21.1","0.0","5.5",0,0,0,0,0,0,0,0,"-",0,0,0,0,"38.8",0,"8.66",0,0,"0.0",0,0,0,"0.0","68.9",0,0,0,0,0,0,0,0,
"Pescado lorna, salado",100,"gr","142.90","24.0","3.4","3.7",0,0,0,0,0,0,0,0,"-",0,0,0,0,15,0,"1.00",0,0,206,0,0,0,"0.0","69.9",0,0,0,0,0,0,0,0,
"Pescado merluza, fresco crudo",100,"gr","225.20","24.8","0.0",14,0,0,0,0,0,0,0,0,"-",0,0,0,0,"0.0",0,"0.0",0,0,"0.0",0,0,0,"0.0","62.1",0,0,0,0,0,0,0,0,
"Pescado merluza, seco",100,"gr","122.10","19.5","0.0","4.9",0,0,0,0,0,0,0,0,"-",0,0,0,0,"0.0",0,"0.0",0,0,"0.0",0,0,0,"0.0","73.8",0,0,0,0,0,0,0,0,
"Pescado paiche, seco P.C.",100,"gr","144.90","25.2","0.0","4.9",0,0,0,0,0,0,0,0,"-",0,0,0,0,"0.0",0,"0.0",0,0,"0.0",0,0,0,"0.0","65.2",0,0,0,0,0,0,0,0,
"Pescado pampanito P.C.",100,"gr","90.80","19.1","0.0","1.6",0,0,0,0,0,0,0,0,"2.50",0,0,0,0,60,0,"2.34",0,0,239,0,0,0,"0.0","77.8",0,0,0,0,0,0,0,0,
"Pescado pejerrey",100,"gr","60.40","14.2","0.0","0.4",0,0,0,0,0,0,0,0,"4.80",0,0,0,0,140,0,"1.20",0,0,151,0,0,0,"0.0","82.8",0,0,0,0,0,0,0,0,
"Pescado perico",100,"gr","93.00","21.0","0.0","1.0",0,0,0,0,0,0,0,0,"1.60",0,0,0,0,22,0,"1.00",0,0,170,0,0,0,"0.0","75.1",0,0,0,0,0,0,0,0,
"Pescado sardina, con aceite",100,"gr","67.90","16.3","0.0","0.3",0,0,0,0,0,0,0,0,"2.20",0,0,0,0,645,0,"1.30",0,0,225,0,0,0,"0.0","79.5",0,0,0,0,0,0,0,0,
"Pescado sardina, con tomate",100,"gr","127.00","23.2","0.0","3.8",0,0,0,0,0,0,0,0,"-",0,0,0,0,"0.0",0,"0.0",0,0,"0.0",0,0,0,"0.0",67,0,0,0,0,0,0,0,0,
"Pescado sardina, en grated (en conserva)",100,"gr","115.20","19.7","0.1",4,0,0,0,0,0,0,0,0,"-",0,0,0,0,30,0,"1.80",0,0,325,0,0,0,"0.0",75,0,0,0,0,0,0,0,0,
"Pescado sardina, filete (en conserva)",100,"gr","86.07","18.8","0.0","1.2",0,0,0,0,0,0,0,0,"2.00",0,0,0,0,18,0,"0.70",0,0,184,0,0,0,"0.45","79.1",0,0,0,0,0,0,0,0,
"Pescado sardina, fresco crudo",100,"gr","112.90","20.8","0.0","3.3",0,0,0,0,0,0,0,0,"4.90",0,0,0,0,19,0,"1.00",0,0,193,0,0,0,"0.52","74.6",0,0,0,0,0,0,0,0,
"Pescado toyo, fresco",100,"gr","91.10","18.5","0.0","1.9",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,"3.7",0,"1.59",0,0,178,0,0,0,"0.0","76.3",0,0,0,0,0,0,0,0,
"Pescado toyo, seco salado",100,"gr","156.00","30.9","3.6","2.0",0,0,0,0,0,0,0,0,"3.90",0,0,0,0,260,0,"5.70",0,0,172,0,0,0,"0.0","44.8",0,0,0,0,0,0,0,0,
"Pescado tramboyo P.C.",100,"gr","164.00","32.9","0.0","3.6",0,0,0,0,0,0,0,0,"-",0,0,0,0,"0.0",0,"0.0",0,0,"0.0",0,0,0,"0.0","44.8",0,0,0,0,0,0,0,0,
"Pescado trucha rosada P.C.",100,"gr","130.60","20.5","0.0","5.4",0,0,0,0,0,0,0,0,"5.90",0,0,0,0,49,0,"1.90",0,0,217,0,0,0,"0.0","72.5",0,0,0,0,0,0,0,0,
"Pescado trucha, en conserva",100,"gr","68.50","15.1","0.0","0.9",0,0,0,0,0,0,0,0,"9.80",0,0,0,0,455,0,"1.10",0,0,186,0,0,0,"0.0","79.1",0,0,0,0,0,0,0,0,
"Pescado trucha, fresca",100,"gr","67.70","15.8","0.0","0.5",0,0,0,0,0,0,0,0,"1.00",0,0,0,0,"14.7",0,"0.20",0,0,185,0,0,0,"0.40","82.4",0,0,0,0,0,0,0,0,
"Pota",100,"gr","100.00","19.6","0.0","2.4",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,105,0,"0.70",0,0,311,0,0,0,"0.0","76.5",0,0,0,0,0,0,0,0,
"Pota, concentrado proteico de ",100,"gr","94.70","22.1","0.0","0.7",0,0,0,0,0,0,0,0,"-",0,0,0,0,"0.0",0,"0.80",0,0,243,0,0,0,"0.0","76.0",0,0,0,0,0,0,0,0,
"Pulpo P.C.",100,"gr","86.80","19.5","1.3","0.4",0,0,0,0,0,0,0,0,"2.30",0,0,0,0,110,0,"1.10",0,0,146,0,0,0,"0.0","77.8",0,0,0,0,0,0,0,0,
"Carnero, cabeza sancochada de",100,"gr","107.20","14.2","0.0","5.6",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,17,0,"2.10",0,0,130,0,0,0,"0.0","79.2",0,0,0,0,0,0,0,0,
"Carnero, panza de (Mondongo)",100,"gr","68.20","15.7","0.0","0.6",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,45,0,"0.90",0,0,33,0,0,0,"1.42","83.8",0,0,0,0,0,0,0,0,
"Carnero, patas sancochadas de",100,"gr","102.50","20.9","0.0","2.1",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,50,0,"1.00",0,0,26,0,0,0,"0.0","76.5",0,0,0,0,0,0,0,0,
"Carnero, sesos de",100,"gr","110.20","10.0","0.0","7.8",0,0,0,0,0,0,0,0,"11.40",0,0,0,0,7,0,"2.70",0,0,252,0,0,0,"1.17","79.1",0,0,0,0,0,0,0,0,
"Carnero, pulpa gorda",100,"gr","261.83","16.9","0.0","21.6",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,12,0,"2.10",0,0,160,0,0,0,"3.33","60.7",0,0,0,0,0,0,0,0,
"Carnero, pulpa muy magra",100,"gr","130.90","19.0","0.0","6.1",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,7,0,"2.20",0,0,180,0,0,0,"0.0","73.8",0,0,0,0,0,0,0,0,
"Carnero pulpa semigorda",100,"gr","247.40","18.2","0.0","19.4",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,7,0,"2.50",0,0,190,0,0,0,"3.52","61.4",0,0,0,0,0,0,0,0,
"Cerdo, carne sin hueso",100,"gr","193.90","14.4","0.1","15.1",0,0,0,0,0,0,0,0,"0.60",0,0,0,0,12,0,"1.30",0,0,238,0,0,0,"1.74","69.2",0,0,0,0,0,0,0,0,
"Cerdo, patas semigordas",100,"gr","278.00","20.0","0.0","22.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,16,0,"3.00",0,0,240,0,0,0,"0.0","57.0",0,0,0,0,0,0,0,0,
"Gallina, pechuga de (Sin piel)",100,"gr","102.90","19.2","0.0","2.9",0,0,0,0,0,0,0,0,"4.40",0,0,0,0,5,0,"0.80",0,0,237,0,0,0,"1.19","73.2",0,0,0,0,0,0,0,0,
"Gallina, pierna de (Sin piel)",100,"gr","114.80","20.6","0.0","3.6",0,0,0,0,0,0,0,0,"4.70",0,0,0,0,9,0,"0.90",0,0,190,0,0,0,"1.19","71.3",0,0,0,0,0,0,0,0,
"Pato, carne de",100,"gr","321.40","16.0","0.0","28.6",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,15,0,"1.80",0,0,188,0,0,0,"1.36","54.3",0,0,0,0,0,0,0,0,
"Pavo, carne de",100,"gr","153.86","20.4","0.0","8.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,15,0,"3.80",0,0,178,0,0,0,"2.20","70.4",0,0,0,0,0,0,0,0,
"Pollo, carne pulpa",100,"gr","113.28","21.4","0.0","3.1",0,0,0,0,0,0,0,0,"2.30",0,0,0,0,12,0,"1.50",0,0,173,0,0,0,"1.54","75.5",0,0,0,0,0,0,0,0,
"Pollo, corazón de",100,"gr","152.57","15.6","1.6","9.3",0,0,0,0,0,0,0,0,"3.20",0,0,0,0,12,0,"1.70",0,0,177,0,0,0,"6.59","73.6",0,0,0,0,0,0,0,0,
"Pollo, hígado de",100,"gr","120.26","18.0","3.4","3.9",0,0,0,0,0,0,0,0,"33.80",0,0,0,0,11,0,"8.56",0,0,272,0,0,0,"3.07","73.6",0,0,0,0,0,0,0,0,
"Pollo, sangre cocida",100,"gr","64.90","16.0","0.0","0.1",0,0,0,0,0,0,0,0,"4.00",0,0,0,0,14,0,"29.50",0,0,115,0,0,0,"0.0","82.0",0,0,0,0,0,0,0,0,
"Res, bazo de",100,"gr","86.40","18.9","0.0","1.2",0,0,0,0,0,0,0,0,"10.10",0,0,0,0,7,0,"28.70",0,0,161,0,0,0,"2.11","78.1",0,0,0,0,0,0,0,0,
"Res, carne pulpa de",100,"gr","99.60","21.3","0.0","1.6",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,16,0,"3.40",0,0,208,0,0,0,"4.32","75.9",0,0,0,0,0,0,0,0,
"Res, corazón de",100,"gr","98.46","16.6","0.1","3.5",0,0,0,0,0,0,0,0,"3.60",0,0,0,0,6,0,"3.60",0,0,209,0,0,0,"1.70","77.0",0,0,0,0,0,0,0,0,
"Res, hígado de",100,"gr","134.60","20.0","3.3","4.6",0,0,0,0,0,0,0,0,"19.50",0,0,0,0,13,0,"5.40",0,0,166,0,0,0,"4.00","70.8",0,0,0,0,0,0,0,0,
"Res, panza de (Mondongo)",100,"gr","99.10","16.9","0.0","3.5",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,66,0,"0.80",0,0,40,0,0,0,"1.42","79.5",0,0,0,0,0,0,0,0,
"Res, pata sancochada de",100,"gr","145.20","23.7","0.0","5.6",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,7,0,"2.10",0,0,37,0,0,0,"0.76","68.8",0,0,0,0,0,0,0,0,
"Res, riñón de",100,"gr","87.66","15.1","0.3","2.9",0,0,0,0,0,0,0,0,"9.90",0,0,0,0,17,0,"6.80",0,0,132,0,0,0,"1.92","79.6",0,0,0,0,0,0,0,0,
"Carnero, carne seca sin hueso (Chalona)",100,"gr","306.50","50.3","0.0","11.7",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,53,0,"3.90",0,0,423,0,0,0,"0.0","20.2",0,0,0,0,0,0,0,0,
"Chicharrón de cerdo (Cocido)",100,"gr","597.80","11.3","0.0","61.4",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,40,0,"0.0",0,0,227,0,0,0,"0.0","22.6",0,0,0,0,0,0,0,0,
"Chicharrón de prensa",100,"gr","430.40","23.9","0.0","37.2",0,0,0,0,0,0,0,0,"1.40",0,0,0,0,60,0,"2.20",0,0,119,0,0,0,"0.0","29.9",0,0,0,0,0,0,0,0,
"Chorizo",100,"gr","281.10","21.0","0.0","21.9",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,56,0,"4.00",0,0,149,0,0,0,"3.41","52.3",0,0,0,0,0,0,0,0,
"Jamón del país",100,"gr","336.40","24.7","0.0","26.4",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,48,0,"2.10",0,0,177,0,0,0,"1.90","47.9",0,0,0,0,0,0,0,0,
"Jamonada",100,"gr","339.50","15.7","2.8","29.5",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,85,0,"1.50",0,0,211,0,0,0,"1.90","49.3",0,0,0,0,0,0,0,0,
"Mortadela",100,"gr","254.10","9.8","9.4","19.7",0,0,0,0,0,0,0,0,"1.00",0,0,0,0,82,0,"2.00",0,0,166,0,0,0,"2.03","57.9",0,0,0,0,0,0,0,0,
"Paté",100,"gr","496.20","10.9","1.1","49.8",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,57,0,"7.10",0,0,289,0,0,0,"0.92","35.0",0,0,0,0,0,0,0,0,
"Relleno",100,"gr","115.40","14.4","3.2","5.0",0,0,0,0,0,0,0,0,"3.40",0,0,0,0,63,0,"16.90",0,0,41,0,0,0,"1.30","75.5",0,0,0,0,0,0,0,0,
"Salchicha blanca chica",100,"gr","444.80","12.0","2.0","43.2",0,0,0,0,0,0,0,0,"2.30",0,0,0,0,22,0,"3.20",0,0,114,0,0,0,"1.84","40.1",0,0,0,0,0,0,0,0,
"Salchicha blanca grande",100,"gr","359.10","13.6","3.5","32.3",0,0,0,0,0,0,0,0,"2.50",0,0,0,0,76,0,"1.20",0,0,142,0,0,0,"1.84","47.9",0,0,0,0,0,0,0,0,
"Hot Dog",100,"gr","361.10","11.0","2.1","34.3",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,76,0,"1.30",0,0,202,0,0,0,"2.02","49.4",0,0,0,0,0,0,0,0,
"Salchicha de ""Huacho""",100,"gr","457.20","12.9","2.4","44.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,80,0,"5.50",0,0,92,0,0,0,"1.84","38.2",0,0,0,0,0,0,0,0,
"Tocino",100,"gr","488.30","13.5","0.8","47.9",0,0,0,0,0,0,0,0,"1.90",0,0,0,0,26,0,"1.20",0,0,70,0,0,0,"1.17","32.8",0,0,0,0,0,0,0,0,
"Leche condensada endulzada",100,"gr","329.20","7.9","53.7","9.2",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,276,0,"0.10",0,0,107,0,0,0,"0.94","27.2",0,0,0,0,0,0,0,0,
"Leche en polvo descremada",100,"gr","359.49","36.2","52.0","0.8",0,0,0,0,0,0,0,0,"6.80",0,0,0,0,1257,0,"1.20",0,0,968,0,0,0,"4.08","3.2",0,0,0,0,0,0,0,0,
"Leche en polvo entera",100,"gr","487.30","27.0","36.1","26.1",0,0,0,0,0,0,0,0,"9.00",0,0,0,0,848,0,"0.20",0,0,888,0,0,0,"3.34","3.9",0,0,0,0,0,0,0,0,
"Leche evaporada descremada",100,"gr","78.50","7.1","10.5","0.9",0,0,0,0,0,0,0,0,"13.00",0,0,0,0,"0.0",0,"0.0",0,0,"0.0",0,0,0,"0.0","80.0",0,0,0,0,0,0,0,0,
"Leche evaporada entera",100,"gr","138.10","6.3","10.9","7.7",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,231,0,"0.0",0,0,203,0,0,0,"0.77","74.5",0,0,0,0,0,0,0,0,
"Leche fresca c/menos de 1% grasa",100,"gr","41.60","3.5","4.7","1.0",0,0,0,0,0,0,0,0,"5.20",0,0,0,0,130,0,"0.05",0,0,96,0,0,0,"0.39","90.1",0,0,0,0,0,0,0,0,
"Leche fresca caja entera Plusa",100,"gr","62.00","3.2","5.1","3.2",0,0,0,0,0,0,0,0,"0.50",0,0,0,0,106,0,"0.30",0,0,103,0,0,0,"0.38","87.8",0,0,0,0,0,0,0,0,
"Leche fresca de vaca",100,"gr","63.50","3.1","4.9","3.5",0,0,0,0,0,0,0,0,"0.50",0,0,0,0,106,0,"1.30",0,0,94,0,0,0,"0.40","87.8",0,0,0,0,0,0,0,0,
"Queso fresco de vaca",100,"gr","264.10","17.5","3.3","20.1",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,783,0,"1.30",0,0,375,0,0,0,"0.0","55.0",0,0,0,0,0,0,0,0,
"Queso mantecoso",100,"gr","395.20","28.0","3.3","30.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,1076,0,"1.50",0,0,517,0,0,0,"0.0","33.5",0,0,0,0,0,0,0,0,
"Queso parmesano duro",100,"gr","436.30","39.1","1.8","30.3",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,1260,0,"0.60",0,0,393,0,0,0,"2.75","22.2",0,0,0,0,0,0,0,0,
"Yogurt de leche entera",100,"gr","61.77","3.5","4.7","3.3",0,0,0,0,0,0,0,0,"0.53",0,0,0,0,121,0,"0.05",0,0,95,0,0,0,"0.59","87.9",0,0,0,0,0,0,0,0,
"Yogurt frutado de leche semidescremada",100,"gr","115.60","4.1","18.5","2.8",0,0,0,0,0,0,0,0,"0.53",0,0,0,0,105,0,"0.05",0,0,105,0,0,0,"0.67","73.8",0,0,0,0,0,0,0,0,
"Yogurt frutado leche descremada",100,"gr","95.40","4.4","19.0","0.2",0,0,0,0,0,0,0,0,"0.70",0,0,0,0,152,0,"0.07",0,0,119,0,0,0,"0.74","75.4",0,0,0,0,0,0,0,0,
"Yogurt natural leche descremada",100,"gr","55.26","5.7","7.7","0.2",0,0,0,0,0,0,0,0,"0.90",0,0,0,0,199,0,"0.09",0,0,157,0,0,0,"0.97","85.2",0,0,0,0,0,0,0,0,
"Cerveza",100,"gr","21.60","0.3","5.1","0.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.10",0,0,15,0,0,0,"0.01","94.5",0,0,0,0,0,0,0,0,
"Chicha de jora",100,"gr","27.50","0.4","5.8","0.3",0,0,0,0,0,0,0,0,"2.40",0,0,0,0,22,0,"1.80",0,0,18,0,0,0,"0.0","93.2",0,0,0,0,0,0,0,0,
"Chicha de maiz morado con azúcar",100,"gr","19.60","0.0","4.9","0.0",0,0,0,0,0,0,0,0,"1.90",0,0,0,0,24,0,"1.30",0,0,4,0,0,0,"0.0","95.0",0,0,0,0,0,0,0,0,
"Coca Cola",100,"gr","42.00","0.0","10.5","0.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.01","89.5",0,0,0,0,0,0,0,0,
"Inca Kola",100,"gr","44.00","0.0","11.0","0.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.0","89.0",0,0,0,0,0,0,0,0,
"""Leche"" de soya",100,"gr","39.80","3.0","3.8","1.4",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,36,0,"0.40",0,0,30,0,0,0,"0.44","91.4",0,0,0,0,0,0,0,0,
"Té sin azúcar",100,"gr","0.92","0.1","0.2","0.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,3,0,"0.20",0,0,1,0,0,0,"0.01","99.6",0,0,0,0,0,0,0,0,
"Vino blanco (grado alcoholico: 12.0)",100,"gr","416.00","0.0","104.0","0.0",0,0,0,0,0,0,0,0,"0.0",0,0,0,0,"0.0",0,"0.00",0,0,"0.0",0,0,0,"0.0","0.0",0,0,0,0,0,0,0,0,
"Vino tinto  (grado alcoholico: 10.2)",100,"gr","416.00","0.0","104.0","0.0",0,0,0,0,0,0,0,0,"0.0",0,0,0,0,"0.0",0,"0.00",0,0,"0.0",0,0,0,"0.0","0.0",0,0,0,0,0,0,0,0,
"Huevo de gallina, clara de",100,"gr","48.05","10.9","0.7","0.2",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,7,0,"0.08",0,0,15,0,0,0,"0.03","87.6",0,0,0,0,0,0,0,0,
"Huevo de gallina, duro",100,"gr","134.80","12.9","1.9","8.4",0,0,0,0,0,0,0,0,"2.50",0,0,0,0,30,0,"1.10",0,0,192,0,0,0,"1.05","75.9",0,0,0,0,0,0,0,0,
"Huevo de gallina P.C.",100,"gr","136.80","13.5","1.8","8.4",0,0,0,0,0,0,0,0,"3.00",0,0,0,0,34,0,"1.10",0,0,194,0,0,0,"1.11","75.4",0,0,0,0,0,0,0,0,
"Huevo de gallina, yema de",100,"gr","348.10","15.6","1.9","30.9",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,136,0,"4.30",0,0,449,0,0,0,"2.30","50.1",0,0,0,0,0,0,0,0,
"Azúcar granulada o refinada",100,"gr","396.80","0.0","99.2","0.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,1,0,"0.10",0,0,0,0,0,0,"0.00","0.6",0,0,0,0,0,0,0,0,
"Azúcar rubia",100,"gr","388.80","0.0","97.2","0.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,45,0,"1.70",0,0,2,0,0,0,"0.18","2.0",0,0,0,0,0,0,0,0,
"Miel de abeja",100,"gr","342.40","0.0","85.6","0.0",0,0,0,0,0,0,0,0,"1.30",0,0,0,0,26,0,"0.40",0,0,10,0,0,0,"0.22","14.1",0,0,0,0,0,0,0,0,
"Mermelada de durazno",100,"gr","206.10","0.6","50.7","0.1",0,0,0,0,0,0,0,0,"0.0",0,0,0,0,8,0,"1.40",0,0,13,0,0,0,"0.0","48.2",0,0,0,0,0,0,0,0,
"Mermelada frutilla",100,"gr","241.00","0.4","59.4","0.2",0,0,0,0,0,0,0,0,"0.0",0,0,0,0,40,0,"1.20",0,0,13,0,0,0,"0.0","39.7",0,0,0,0,0,0,0,0,
"Ají amarillo fresco P.C.",100,"gr","45.10","0.9","8.8","0.7",0,0,0,0,0,0,0,0,"60.00",0,0,0,0,31,0,"0.90",0,0,21,0,0,0,"0.0","88.9",0,0,0,0,0,0,0,0,
"Ají amarillo molido fresco sin sal",100,"gr","59.70","1.9","9.2","1.7",0,0,0,0,0,0,0,0,"16.20",0,0,0,0,97,0,"3.50",0,0,47,0,0,0,"0.0","60.2",0,0,0,0,0,0,0,0,
"Ají amarillo seco",100,"gr","345.10","7.3","64.8","6.3",0,0,0,0,0,0,0,0,"6.00",0,0,0,0,124,0,"8.20",0,0,166,0,0,0,"1.02","16.6",0,0,0,0,0,0,0,0,
"Ají colorado molido",100,"gr","49.40","2.1","8.0","1.0",0,0,0,0,0,0,0,0,"19.20",0,0,0,0,130,0,"5.00",0,0,54,0,0,0,"0.26","72.6",0,0,0,0,0,0,0,0,
"Ají de mesa P.C.",100,"gr","46.80","1.8","7.2","1.2",0,0,0,0,0,0,0,0,"104.40",0,0,0,0,77,0,"1.30",0,0,23,0,0,0,"0.0","89.1",0,0,0,0,0,0,0,0,
